,y,text,text_pt,contains_url,word_count,target,predictions
452,positive,The contracts have been signed to acquire uranium produced at the Sotkamo nickel-zinc mine in eastern Finland owned by Talvivaara .,"Os contratos foram assinados para adquirir urânio produzido na mina de níquel-zinco Sotkamo, no leste da Finlândia, de propriedade da Talvivaara.",False,21,2,neutral
1051,neutral,Medical Devices - Russia This brand-new market analysis gives a clear overview of the actual situation and future outlook of the medical device market in Russia .,Dispositivos Médicos - Rússia Esta nova análise de mercado oferece uma visão geral clara da situação real e as perspectivas futuras do mercado de dispositivos médicos na Rússia.,False,28,1,neutral
4275,negative,30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,30 de novembro de 2009 - A fabricante finlandesa de móveis de escritório Martela Oyj HEL: MARAS disse hoje que irá despedir três pessoas e outras nove serão demitidas permanentemente do pessoal de escritório da empresa e dos trabalhadores da fábrica.,False,41,0,negative
3192,neutral,The company will issue an inaugural Eurobond deal in the near future subject to market conditions .,"A empresa emitirá um acordo inaugural de Eurobônus em um futuro próximo, sujeito às condições de mercado.",False,17,1,neutral
4294,neutral,"However , the brokers ' ratings on the stock differ .","No entanto, as classificações dos corretores sobre as ações diferem.",False,10,1,neutral
4198,neutral,M-real will start statutory employer-employee negotiations at the +_+∆nekoski board mill that concern about 130 people .,"A M-real iniciará negociações estatutárias entre empregador e empregado na fábrica de papelão + _ + ∆nekoski, que preocupam cerca de 130 pessoas.",False,23,1,negative
2320,neutral,"Finnish L&T Recoil , a company specialising in used oil regeneration , is building a facility in Hamina in Finland in 2008 .","A finlandesa L&T Recoil, empresa especializada em regeneração de óleo usado, está construindo uma instalação em Hamina, na Finlândia, em 2008.",False,21,1,neutral
3340,neutral,"The share capital of Biotie Therapies Corp. constitutes 90,211,860 shares in the aggregate and the number of voting rights attached to the shares amounts to 90,211,860 .",O capital social da Biotie Therapies Corp. constitui 90.211.860 ações no total e o número de direitos de voto associados às ações ascende a 90.211.860.,False,25,1,neutral
4226,neutral,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly .","O contrato também inclui o corte e a afiação de peças de vagões nos centros de serviços de aço da Ruukki em Seinajoki e Raahe, ambos no sudoeste da Finlândia, de onde serão entregues à VR para soldagem e montagem.",False,40,1,neutral
1635,neutral,The organization that is a member of the Russian auto sector union MPRA has become active since Tikkurila acquired Russian paint company Kraski Teks in 2006 .,A organização que é membro do sindicato do setor automotivo russo MPRA tornou-se ativa desde que a Tikkurila adquiriu a empresa de tintas russa Kraski Teks em 2006.,False,28,1,neutral
487,neutral,Finnish paper maker UPM-Kymmene Corp. on Monday announced the sale of its wrapping unit Walki Wisa to the CapMan investment group in a move to further concentrate on its core business .,A fabricante de papel finlandesa UPM-Kymmene Corp. anunciou na segunda-feira a venda de sua unidade de embalagem Walki Wisa para o grupo de investimentos CapMan em um movimento para se concentrar ainda mais em seu negócio principal.,False,37,1,neutral
949,positive,"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .","No entanto, os volumes de vendas na indústria de alimentos devem permanecer em níveis relativamente bons na Finlândia e na Escandinávia, disse Atria.",False,23,2,positive
4597,negative,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",A construtora finlandesa YIT está reduzindo o número de start-ups de unidades residenciais financiadas pelo mercado em 2007 para cerca de 2.300 das 2.700 anunciadas anteriormente.,False,26,0,negative
1397,neutral,The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,O oxímetro de pulso Oxyview é um dispositivo comum para verificar o nível de saturação de oxigênio no sangue e a frequência de pulso do paciente.,False,26,1,neutral
4774,negative,"Nokia 's share price fell less than one percent to 18.70 euros ( $ 25.41 ) in Helsinki , while Siemens shares fell 1.02 percent to 90.19 euros ( $ 122.57 ) in Frankfurt .","O preço das ações da Nokia caiu menos de um por cento para 18,70 euros (US $ 25,41) em Helsinque, enquanto as ações da Siemens caíram 1,02 por cento para 90,19 euros (US $ 122,57) em Frankfurt.",False,37,0,negative
200,positive,"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .","Após a aquisição, a Relacom irá reforçar a sua presença na Finlândia, servindo operadores e mercado de escritórios com serviços de construção, instalação e manutenção de redes móveis e fixas.",False,30,2,positive
4649,negative,"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .","O lucro por ação (EPS) no primeiro semestre de 2007 foi de € 0,29, abaixo dos € 0,40 do ano anterior.",False,21,0,negative
3427,neutral,"Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .","A Vaisala, com sede em Helsinque, na Finlândia, desenvolve e fabrica sistemas de medição eletrônica para meteorologia, ciências ambientais, tráfego e indústria.",False,22,1,neutral
4299,neutral,"Information system supplier Sentera -- up 24.51 pct -- was the next most heavily traded share after SysOpen Digia , a software house , acquired 77.4 pct of the company this morning for just under 33 mln eur .","O fornecedor de sistemas de informação Sentera - com alta de 24,51 por cento - foi a próxima ação mais negociada depois que a SysOpen Digia, uma software house, adquiriu 77,4 por cento da empresa esta manhã por pouco menos de 33 milhões de euros.",False,45,1,positive
4097,neutral,"Mr Clausen , however , refused to comment the option that Nordea would consider buying into Citadele Bank .","Clausen, no entanto, se recusou a comentar a opção de Nordea considerar a compra do Citadele Bank.",False,17,1,neutral
1582,neutral,Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .,A Ruukki está reestruturando as operações de construção comercial e industrial em busca de melhorias permanentes enquanto ajusta as operações às condições de mercado.,False,24,1,neutral
567,neutral,"Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .","Após o aumento, o capital social da Huhtamaki Oyj é de EUR 358.706.290,00 e o número de ações em circulação é de 105.501.850.",False,23,1,neutral
3539,neutral,"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 .","A Componenta tem linhas de produção para produtos de tamanho similar em Karkkila na Finlândia, em Weert na Holanda e em Orhangazi na Turquia, e estas tiveram uma produção combinada de aproximadamente 100.000 toneladas e vendas líquidas de 135 milhões de euros em 2007.",False,44,1,neutral
3839,neutral,"The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila 's factory at Khopoli , near Mumbai .","A fabricação de CPPs será realizada na Unidade Orientada à Exportação existente EOU na fábrica da Wartsila em Khopoli, perto de Mumbai.",False,22,1,neutral
4629,negative,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",As vendas líquidas da Finnish GeoSentric diminuíram para EUR 939.000 em janeiro-março de 2009.,False,14,0,negative
3647,neutral,"ADP News - Jan 13 , 2009 - Finnish industrial and environmental measurement equipment maker Vaisala Oyj OMX : VAIAS said yesterday it will develop an operational reference radiosonde for climate change observations .",ADP News - 13 de janeiro de 2009 - A fabricante finlandesa de equipamentos de medição industrial e ambiental Vaisala Oyj OMX: VAIAS disse ontem que vai desenvolver uma radiossondagem de referência operacional para observações de mudanças climáticas.,False,38,1,positive
4730,negative,"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .","O lucro operacional totalizou EUR 1,22 milhões, abaixo dos EUR 3,56 milhões no primeiro trimestre de 2008.",False,17,0,negative
515,positive,"The equipment will expand container handling capacity at Namibia 's main port of Walvis Bay , on the west coast .","O equipamento ampliará a capacidade de movimentação de contêineres do principal porto da Namíbia, Walvis Bay, na costa oeste.",False,19,2,positive
2519,neutral,Officials did not disclose the contract value .,Funcionários não divulgaram o valor do contrato.,False,7,1,neutral
1194,neutral,Completion of the transaction is subject to a final agreement and a Due Diligence process .,A conclusão da transação está sujeita a um acordo final e a um processo de Due Diligence.,False,17,1,neutral
1025,neutral,"CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds .","A CapMan tem seis áreas de investimento CapMan Buyout, CapMan Technology, CapMan Life Science, CapMan Russia, CapMan Public Market e CapMan Real Estate, e cada uma delas tem uma equipe dedicada e fundos.",False,33,1,neutral
480,neutral,"Cargotec 's share capital after the increase totals EUR 64,299,180 .",O capital social da Cargotec após o aumento ascende a EUR 64.299.180.,False,12,1,neutral
4128,negative,"According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+∆meri , the Northernmost part of the Gulf of Bothnia .","De acordo com as autoridades suecas, vestígios do tetróxido de ósmio, muito tóxico, foram encontrados na costa de Per + ∆meri, a parte mais ao norte do Golfo de Bótnia.",False,30,0,neutral
4804,negative,"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .","As vendas da Ragutis em sete meses, controlada pela cervejaria finlandesa Olvi, caíram 11,2%, para 15,41 milhões de litros, e a empresa detinha 9,89% do mercado.",False,26,0,negative
4393,negative,"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .","O lucro operacional, excluindo itens não recorrentes, totalizou EUR 1,0 mn, abaixo dos EUR 1,6 mn.",False,16,0,negative
3358,neutral,"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .","Os custos totais de reestruturação são estimados em cerca de EUR 30 milhões, dos quais EUR 13,5 milhões foram contabilizados em dezembro de 2008.",False,24,1,neutral
2563,neutral,Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,Suomen Paikallissanomat Oy faz parte do Alma Media Group e atualmente publica 15 jornais locais em toda a Finlândia.,False,19,1,neutral
441,neutral,Solidium picked up Tikkurila shares as a dividend at a book value of EUR15 .80 per share .,"A Solidium adquiriu ações da Tikkurila como dividendo a um valor contábil de EUR 15,80 por ação.",False,17,1,neutral
1027,neutral,"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries .","centavos O perfil contém as operações comerciais, a história da empresa, os principais produtos e serviços, clientes potenciais, principais concorrentes, estrutura e funcionários-chave, localizações e subsidiárias.",False,26,1,neutral
3516,neutral,"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .","Será usada a maior quantidade de biomassa que puder ser obtida localmente, com o restante das necessidades de combustível da planta atendidas pela turfa.",False,24,1,neutral
13,positive,"Clothing retail chain Sepp+∆l+∆ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .","As vendas da cadeia de varejo de roupas Sepp + ∆l + ∆ aumentaram 8% para EUR 155,2 milhões, e o lucro operacional subiu para EUR 31,1 milhões de EUR 17,1 milhões em 2004.",False,34,2,positive
1953,neutral,The agreement must be approved by the Russian competition authorities before it enters into force .,O acordo deve ser aprovado pelas autoridades de concorrência russas antes de entrar em vigor.,False,15,1,neutral
163,positive,"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .","Tanto o lucro operacional quanto as vendas líquidas para o período de seis meses aumentaram, respectivamente, de EUR13,8 milhões e EUR143,6 milhões, em comparação com o período correspondente em 2007.",False,30,2,positive
4488,neutral,Bioheapleaching makes extraction of metals from low grade ore economically viable .,A bioelixiviação torna a extração de metais de minério de baixo teor economicamente viável.,False,14,1,positive
1219,neutral,"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .","Após o registro, o número de ações emitidas e em circulação da Basware é 12.890.829.",False,15,1,neutral
2150,neutral,Net sales in 2006 totaled EUR 302 million and the operating margin was 16 % .,As vendas líquidas em 2006 totalizaram EUR 302 milhões e a margem operacional foi de 16%.,False,16,1,neutral
3753,neutral,The business area 's net sales were slightly over 2m in 2006 .,As vendas líquidas da área de negócios foram ligeiramente superiores a 2 milhões em 2006.,False,15,1,positive
2044,neutral,"The report also said Nokia 's operations comprising the sites at Bochum , Ulm , Dusseldorf , Munich and Frankfurt posted operating profit after interest of 246 mln eur .","O relatório também disse que as operações da Nokia compreendendo os sites em Bochum, Ulm, Dusseldorf, Munique e Frankfurt registraram lucro operacional após juros de 246 milhões de euros.",False,29,1,positive
606,positive,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .","A loja de 250 m2 com 2.691 m2 no principal distrito comercial de Copenhague foi inaugurada hoje, fortalecendo ainda mais a presença da empresa nas capitais nórdicas.",False,27,2,positive
1251,neutral,Insurance policies should be simple .,As apólices de seguro devem ser simples.,False,7,1,neutral
4544,positive,"`` Beyond the improved voice capabilities , customers now have a streamlined way to comply with recalls and other traceability requirements , providing them with a competitive advantage .","`` Além dos recursos de voz aprimorados, os clientes agora têm uma maneira simplificada de cumprir os recalls e outros requisitos de rastreabilidade, proporcionando-lhes uma vantagem competitiva.",False,27,2,positive
4029,neutral,The impact of Cableway to Teleste 's net sales in 2009 is estimated to be EUR 4 million .,O impacto do Cableway nas vendas líquidas da Teleste em 2009 é estimado em EUR 4 milhões.,False,17,1,neutral
4342,neutral,"Viking Line has also been forced to alter its timetable so that ferries traveling from Stockholm to Helsinki , Finland , only depart at night .","A Viking Line também foi forçada a alterar seu horário para que as balsas que viajam de Estocolmo para Helsinque, na Finlândia, saiam apenas à noite.",False,26,1,negative
387,positive,YIT Construction and the town of Riihim+∆ki have signed a lease contract whereby the town will occupy the Travel Centre office facilities .,A YIT Construction e a cidade de Riihim + ∆ki assinaram um contrato de arrendamento pelo qual a cidade ocupará as instalações de escritórios do Travel Center.,False,27,2,neutral
2814,neutral,"Based on the design of previous handsets , the Nokia E72 and Nokia E63 this Symbian-based model is promised to offer direct access to over 90 per cent of the world s corporate email through Mail for Exchange and IBM Lotus Notes Traveler .","Com base no design de aparelhos anteriores, o Nokia E72 e o Nokia E63, este modelo baseado em Symbian, promete oferecer acesso direto a mais de 90 por cento do e-mail corporativo mundial através do Mail for Exchange e IBM Lotus Notes Traveler.",False,43,1,neutral
185,positive,"EPS from continuing operations came in at 0.30 eur , up from 0.17 .","O EPS das operações contínuas ficou em 0,30 eur, acima dos 0,17.",False,12,2,positive
3702,neutral,Pharmaceutical market in Netherlands Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Netherlands .,Mercado farmacêutico na Holanda A Global Research & Data Services publicou recentemente uma análise de mercado sobre os mercados farmacêuticos na Holanda.,False,22,1,neutral
1646,neutral,"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis .","O estudo avaliou a segurança, tolerabilidade e farmacocinética de doses repetidas de anticorpos administrados por via intravenosa em 26 pacientes com psoríase em placas ativa.",False,25,1,neutral
3222,neutral,"The engine has an electrical output of 18,321 kW , making it the largest gas powered generating set in the world .","O motor tem potência elétrica de 18.321 kW, sendo o maior grupo gerador a gás do mundo.",False,17,1,neutral
947,positive,"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .","O desenvolvedor de software finlandês Basware Oyj disse em 30 de novembro de 2006 que sua subsidiária nos EUA, Basware, Inc., ganhou um pedido de fornecimento de software para gerenciamento de ciclo de vida de contrato para uma empresa de tecnologia médica não identificada nos EUA.",False,46,2,positive
295,positive,The increase in capital stock has been registered in the Finnish Trade Register on 20 November 2006 .,O aumento no capital social foi registrado no Registro Comercial da Finlândia em 20 de novembro de 2006.,False,18,2,positive
2997,neutral,( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . ),(Um porta-voz disse ao WWD para esperar uma mistura de roupas e decoração para casa 50-50.),False,16,1,neutral
353,positive,Operating profit of the Asian plants grew markedly .,O lucro operacional das fábricas asiáticas cresceu acentuadamente.,False,8,2,positive
1404,neutral,"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .","A razão para isso é o status de São Petersburgo como capital, disse Chikunov, segundo um dos participantes da reunião.",False,20,1,neutral
2633,neutral,The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .,A Linha 4 será totalmente subterrânea e terá 10 estações que serão executadas em duas etapas de implantação.,False,18,1,neutral
419,neutral,"Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .","Comparado com o índice FTSE 100, que subiu 51,5 pontos (ou 0,9%) no dia, esta foi uma variação de preço relativa de -0,6%.",False,23,1,negative
2727,neutral,"A total of 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .","Em 19 de abril, foram subscritas 38.244 novas ações Citycon com o valor nominal de EUR 1,35 por ação, exercendo as opções A-B-C com base no plano de opções de ações da empresa de 1999.",False,35,1,neutral
2220,neutral,The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people .,A receita do Grupo em 2008 foi de EUR 94 milhões e a empresa emprega atualmente cerca de 730 pessoas.,False,20,1,neutral
2741,neutral,"Local government commissioner of +_m+_l , Kurt Svensson , says he will contact the management of Finnish company Componenta to find out if there are any alternatives to the company 's decision to close down its plant in +_m+_l .","O comissário do governo local de + _m + _l, Kurt Svensson, disse que entrará em contato com a administração da empresa finlandesa Componenta para descobrir se há alternativas para a decisão da empresa de fechar sua fábrica em + _m + _l.",False,43,1,neutral
4566,negative,"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .","O lucro operacional comparável para o trimestre diminuiu de EUR510 milhões, enquanto as vendas aumentaram de EUR860 milhões, em comparação com o terceiro trimestre de 2007.",False,26,0,negative
2457,neutral,Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .,Motivos da notificação: Tiimari Plc 30/12/2010 emitiu decisão de alocação de empréstimo de capital conversível pelo Conselho em 31/01/2011.,False,19,1,neutral
2503,positive,"M-real Corporation Press release on 3 November at 10:35 am M-real Corporation was the second best company in the materials sector including e.g. forest industry companies in the Carbon Disclosure Leadership Index CDLI , Nordic Report 2009 .","M-real Corporation Comunicado de imprensa em 3 de novembro às 10:35 am M-real Corporation foi a segunda melhor empresa no setor de materiais incluindo, por exemplo empresas da indústria florestal no Carbon Disclosure Leadership Index CDLI, Nordic Report 2009.",False,39,2,positive
2399,negative,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .","Como parte das medidas de reorganização que ocorrerão na primavera de 2006, a Tamglass Finton iniciará negociações de pessoal que afetarão toda a sua equipe de 33.",False,27,0,neutral
1976,negative,The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .,"O SeaWind que estava a caminho do porto finlandês de Turku para Estocolmo ficou preso no gelo por volta das 16 horas. na quarta-feira, a viagem do Regal Star do porto sueco de Kapellskar a Paldiski, no noroeste da Estônia, foi interrompida às 2h da quinta-feira.",False,46,0,negative
516,positive,The expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .,A expansão inclui a duplicação da área útil e a adição de mais capacidade de elevação e equipamentos de produção.,False,20,2,positive
3522,neutral,"Based on the 2005 calendar year the combined company had EUR15 .8 bn in pro forma annual revenues and is expected to start operations with 60,000 employees .","Com base no ano civil de 2005, a empresa combinada teve EUR15,8 bilhões em receitas anuais pro forma e espera-se que inicie as operações com 60.000 funcionários.",False,27,1,neutral
4395,negative,"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .","O lucro operacional excluindo itens não recorrentes totalizou EUR 40,6 milhões, abaixo dos EUR 57,3 milhões ano-a-ano.",False,17,0,negative
4257,neutral,"The utility will also provide services related to electricity management , such as hedging trades and risk management and reporting .","A concessionária também fornecerá serviços relacionados à gestão de eletricidade, como negociações de hedge e gestão e relatórios de risco.",False,20,1,neutral
2984,neutral,Kemira shares closed at (  x20ac ) 16.66 ( $ 22US .71 ) .,"As ações da Kemira fecharam a (x20ac) 16,66 ($ 22US 0,71).",False,11,1,neutral
909,positive,This resulted in improved sales figures in Sweden .,Isso resultou em melhores números de vendas na Suécia.,False,9,2,positive
730,negative,"At this growth rate , paying off the national debt will be extremely painful .","Com essa taxa de crescimento, pagar a dívida nacional será extremamente doloroso.",False,12,0,negative
1427,neutral,The veneer and plywood industry in Sweden is quite small despite the raw material resources .,"A indústria de folheado e madeira compensada na Suécia é muito pequena, apesar dos recursos de matéria-prima.",False,17,1,neutral
2108,neutral,"In 2007 , Huhtamaki will continue to invest in organic growth .","Em 2007, Huhtamaki continuará investindo em crescimento orgânico.",False,8,1,positive
985,positive,The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .,O terceiro pedido concedido à Outokumpu Technology é por Shalkiya Zinc do Cazaquistão para o projeto Shalkiya de zinco-chumbo no Cazaquistão.,False,21,2,positive
1821,neutral,"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , has a plant near Warsaw , in Poland , that makes flexible packaging .","A Finnish Suominen Corporation, que fabrica lenços umedecidos, não tecidos e embalagens flexíveis, possui uma fábrica perto de Varsóvia, na Polônia, que fabrica embalagens flexíveis.",False,25,1,neutral
2652,neutral,The parties have agreed not to disclose the transaction value .,As partes concordaram em não divulgar o valor da transação.,False,10,1,neutral
571,neutral,"When the OMX market forwards mature on May 16 , 2008 , Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .","Quando o mercado a termo OMX vencer em 16 de maio de 2008, a participação direta da Novator Finland Oy na Amer Sports Corporation excederá um quinto de 1 a 5 das ações e direitos de voto da empresa.",False,39,1,neutral
4204,neutral,Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,"O Conselho da Panostaja Oyj também decidiu em sua reunião organizacional realizada após a conclusão da AGM implementar a decisão da AGM sobre os honorários dos membros do Conselho pagos como ações, de forma que as ações sejam transferidas trimestralmente na data seguinte à publicação do relatório anual .",False,49,1,neutral
2047,neutral,The value of the confirmed aircraft orders totals EUR 2bn .,O valor dos pedidos de aeronaves confirmados totaliza EUR 2 bilhões.,False,11,1,neutral
