,y,text,text_pt,contains_url,word_count,keywords_llama32
10,positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .","STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE O Credit Suisse First Boston (CFSB) elevou o valor justo para ações em quatro dos maiores grupos florestais nórdicos.",False,25,"Grupos Florestais, Ações, Valoração

*Justificativa:
 Grupos Florestais: está diretamente relacionada ao conteúdo do texto, que menciona as empresas STORA ENSO e NORSKE SKOG como grupos florestais nórdicos.
Ações: está relacionada à ideia de investimento na ação, mencionando o Credit Suisse First Boston (CFSB).
Valoração: está relacionada ao aumento do valor justo para as ações das empresas mencionadas."
11,positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","Um contrato de compra de 7.200 toneladas de gasolina com entrega no terminal de Hamina, Finlândia, foi assinado com a Neste Oil OYj na média do índice Platts para setembro deste ano mais oito dólares americanos por mês.",False,38,"Gasolina, Contrato, Preço

*Justificativa:
    Gasolina: está relacionada ao conteúdo do texto que menciona a compra de gasolina.
    Contrato: está diretamente relacionado à ideia de assinatura de um acordo comercial entre a Neste Oil OYj e o terminal de Hamina.
    Preço: está relacionado à forma como o contrato foi negociado, com a média do índice Platts mais um valor adicional."
12,positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .","A Finnish Talentum relata que seu lucro operacional aumentou para EUR 20,5 milhões em 2005 de EUR 9,3 milhões em 2004, e as vendas líquidas totalizaram EUR 103,3 milhões, acima de EUR 96,4 milhões.",False,34,"Lucro, Crescimento, Vendas"
13,positive,"Clothing retail chain Sepp+∆l+∆ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .","As vendas da cadeia de varejo de roupas Sepp + ∆l + ∆ aumentaram 8% para EUR 155,2 milhões, e o lucro operacional subiu para EUR 31,1 milhões de EUR 17,1 milhões em 2004.",False,34,"Vendas, Crescimento, Lucro

*Justificativa:* Vendas: está diretamente relacionada ao conteúdo do texto, que menciona o aumento das vendas da cadeia de varejo de roupas Sepp + ∆l + ∆; 
Crescimento: está relacionado ao aumento expresso do valor das vendas (8%); 
Lucro: está relacionada à parte financeira do texto, que menciona o lucro operacional subindo para EUR 31,1 milhões."
14,positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .","As vendas líquidas consolidadas aumentaram 16% para alcançar EUR74,8 milhões, enquanto o lucro operacional totalizou EUR0,9 milhões em comparação com uma perda de EUR0,7 milhões no período do ano anterior.",False,30,"Vendas, Lucro, Crescimento

*Justificativa:*

 *   Vendas: está diretamente relacionada ao conteúdo do texto, que menciona as vendas líquidas consolidadas e o aumento de 16%| *   Lucro: está relacionada à informação sobre o lucro operacional totalizado em EUR0,9 milhões|   Crescimento: está relacionada ao aumento de 16% nas vendas líquidas, indicando um crescimento no desempenho da empresa."
15,positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .","A divisão de fundições relata que suas vendas aumentaram 9,7% para EUR 63,1 milhões de EUR 57,5 milhões no período correspondente em 2006, e as vendas da divisão de Oficina de Máquinas aumentaram 16,4% para EUR 41,2 milhões de EUR 35,4 milhões no período correspondente em 2006.",False,47,"Vendas, Crescimento, Divisão

* Justificativa:
Vendas: está diretamente relacionada ao conteúdo do texto, que menciona as vendas da divisão de fundições e a divisão de Oficina de Máquinas| 
Crescimento: está relacionada ao aumento das vendas nos períodos correspondentes em 2006, indicando um aumento no desempenho financeiro|
Divisão: está relacionada à estruturação da empresa que menciona as divisões específicas, como a de fundições e a de Oficina de Máquinas|"
16,positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","HELSINKI (AFX) - As ações fecharam em alta, lideradas pela Nokia após anunciar planos de se associar à Sanyo para fabricar aparelhos 3G, e pela Nokian Tyres depois que seu relatório de lucros do quarto trimestre superou as expectativas dos analistas, disseram revendedores.",False,43,"Ações, Nokia, Lucro

*Justificativa:* Ações: está diretamente relacionada ao conteúdo do texto, que menciona o fechamento das ações em alta; Nokia: está relacionada à empresa Nokia e sua ascensão nas ações; Lucro: está relacionada ao relatório de lucros da Nokian Tyres que superou as expectativas dos analistas."
17,positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .","Incap Contract Manufacturing Services Pvt Ltd, uma subsidiária da Incap Corporation of Finland, planeja dobrar suas receitas em 2007-2008.",False,19,"Incap, Contrato, Manufatura"
18,positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .","Seu conselho de administração irá propor um dividendo de EUR0,12 por ação para 2010, acima dos EUR0,08 por ação pagos em 2009.",False,22,"Dividendos, Administração, Ações

*Justificativa:* 
Dividendos: está diretamente relacionado ao conteúdo do texto, que menciona a proposta de um dividendo para o ano de 2010|  
Administração: está relacionada à ideia de um conselho de administração que irá propor o aumento do dividendo|  
Ações: está relacionada à transação financeira que envolve a distribuição de dividendos às ações da empresa"
19,positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .","A Lifetree foi fundada em 2000 e suas receitas aumentaram em média 40%, com margens no final dos anos 30.",False,20,"Vendas, Crescimento, Margem

*Justificativa:* 
* Vendas: está diretamente relacionada ao conteúdo do texto, que menciona a Lifetree como uma empresa cujas receitas aumentaram em média 40%| 
* Crescimento: está relacionada à ideia de aumento das receitas da Lifetree| 
* Margem: está relacionada às especificações do crescimento das receitas da Lifetree"
20,positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","(Filippova) Um acordo trilateral sobre o investimento na construção de um parque tecnológico em São Petersburgo deveria ter sido assinado durante o fórum Dias da Economia Russa, que hoje foi inaugurado em Helsinque.",False,33,"Parque Tecnológico, Investimento, Construção

*Justificativa:
 * Parque Tecnológico: está diretamente relacionada ao conteúdo do texto, que menciona um acordo trilateral sobre o investimento na construção de um parque tecnológico em São Petersburgo.
 * Investimento: está relacionada à ideia de financiamento e apoio econômico para a construção do parque tecnológico.
 * Construção: está relacionada ao processo físico de criar o parque tecnológico, incluindo a realização dos trabalhos necessários."
21,positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .","A base de assinantes da MegaFon aumentou 16,1% em 2009 para 50,5 milhões de usuários em 31 de dezembro, enquanto sua participação de mercado em número de clientes ascendeu a 24% no final de 2009, ante 23% no final de 2008, de acordo com estimativas da TeliaSonera .",False,48,"Assinantes, Participação, Mercado 

*Justificativa:* 
Assinantes: está relacionada ao conteúdo do texto que fala sobre a base de assinantes da MegaFon e sua evolução em relação à TeliaSonera.
Participação: está relacionada ao aumento da participação de mercado na empresa, comparando os anos de 2008 e 2009.
Mercado: está relacionada à ideia de crescimento da participação de mercado da MegaFon em relação a outras empresas."
22,positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .","O rendimento líquido dos seguros de vida duplicou para 6,8 milhões de euros de 3,2 milhões de euros, e o rendimento líquido dos seguros não vida aumentou para 5,2 milhões de euros de 1,5 milhões de euros no período correspondente em 2009.",False,42,"Seguros, Rendimento, Duplicação

*Justificativa:
 Seguros: está diretamente relacionada ao conteúdo do texto, que menciona seguros de vida e não vida;
Rendimento: está relacionada à ideia de aumento dos rendimentos líquidos nos períodos correspondentes;
Duplicação: está relacionada à expressão usada para descrever o aumento do rendimento líquido dos seguros de vida."
23,positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),"As vendas líquidas aumentaram para EUR193,3 milhões de EUR179,9 milhões e o lucro antes dos impostos aumentou 34,2% para EUR43,1 milhões. (EUR1 = US $ 1,4)",False,26,"Vendas, Líquidas, Lucro"
24,positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","As vendas líquidas aumentaram 18,5% para EUR167,8 milhões. A Teleste disse que 20,4 milhões de euros, ou 12,2%, das vendas vieram das aquisições feitas em 2009.",False,26,"Vendas, Crescimento, Aquisição

* Justificativa:
Vendas: está diretamente relacionada ao conteúdo do texto, que menciona as vendas líquidas e seu crescimento;
Crescimento: está relacionada à ideia de aumento das vendas líquidas;
Aquisição: está relacionada às aquisições feitas pela Teleste em 2009."
25,positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,"O lucro operacional do Grupo Nordea aumentou em 2010 em 18 por cento ano a ano para 3,64 bilhões de euros e a receita total em 3 por cento, para 9,33 bilhões de euros.",False,34,"Lucro, Receita, Operacional

*Justificativa: 
   Lucro: está relacionado ao aumento do lucro operacional do Grupo Nordea;
   Receita: está relacionada à receita total do Grupo Nordea que aumentou em 3% para 9,33 bilhões de euros;
   Operacional: está relacionada à especificação sobre o tipo de lucro, aumentando apenas o lucro operacional."
26,positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .","O lucro operacional para o período de nove meses aumentou de EUR13,6 milhões, enquanto as vendas líquidas aumentaram de EUR394,7 milhões, em comparação com o período correspondente em 2005.",False,29,"Lucro, Vendas, Crescimento

*Justificativa:
*   Lucro: está diretamente relacionado ao conteúdo do texto, que menciona o aumento do lucro operacional para o período de nove meses.
*   Vendas: está relacionada às informações sobre as vendas líquidas aumentadas em comparação com o período correspondente em 2005.
*   Crescimento: está relacionado à ideia de aumento das vendas e lucros, sugerindo um crescimento econômico."
27,positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .","O lucro operacional para o período de nove meses aumentou de EUR3,1 m e as vendas líquidas aumentaram de EUR 61,5 m, em comparação com o período correspondente em 2007.",False,30,"Lucro, Operacional, Vendas

*Justificativa:
*   Lucro: está relacionada ao aumento do lucro operacional no período apresentado
*   Operacional: está diretamente relacionada à ideia de lucro operacional
*   Vendas: está relacionada ao aumento das vendas líquidas"
28,positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .","O lucro operacional para o período de três meses aumentou de € 1,2 milhões, enquanto as receitas aumentaram de € 20,2 milhões, em comparação com o período correspondente em 2005.",False,30,"Lucro, Receita, Operações

*Justificativa:
    Lucro: está diretamente relacionado ao conteúdo do texto, que menciona o aumento do lucro operacional para o período de três meses;
    Receita: está relacionada à comparação entre os receitos do período atual e os receitos do mesmo período em 2005;
    Operações: está relacionada à natureza do valor apresentado no texto, que é o lucro e as receitas."
29,positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .","A unidade brasileira da fornecedora de soluções de segurança finlandesa F-Secure assinou 1.500 novos clientes no ano passado, disse a fonte de notícias online Reseller Web citando o diretor comercial da divisão, Vladimir Brand + _o.",False,36,"Segurança, Investimento, Comércio

*Justificativa:
 Segurança: está diretamente relacionada ao conteúdo do texto, que menciona a F-Secure como uma fornecedora de soluções de segurança.
 Investimento: está relacionada à ideia de assinatura de novos clientes, indicando um investimento na empresa por parte da F-Secure.
 Comércio: está relacionada ao diretor comercial Vladimir Brand +_, que é uma figura chave no comércio da divisão da F-Secure."
30,positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .","O lucro líquido da empresa cresceu 11,4% no ano, para 82,2 milhões de euros em 2005, sobre vendas de 686,5 milhões de euros, 13,8% acima do ano passado, informou a empresa anteriormente.",False,32,"Lucro, Crescimento, Vendas

*Justificativa:*
   *Lucro: está diretamente relacionada ao conteúdo do texto, que menciona o lucro líquido da empresa e seu crescimento.
   *Crescimento: está relacionada à ideia de aumento do lucro líquido da empresa em 11,4% no ano.
   *Vendas: está relacionada ao valor das vendas da empresa, que foi informado anteriormente."
31,positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","O mercado de cerveja da Lituânia registrou 14,41 milhões de litros em janeiro, um aumento de 0,8% em relação ao ano anterior, informou a Associação de Cervejarias da Lituânia citando os resultados de seus membros.",False,35,"Cerveja, Mercado, Crescimento

*Justificativa:* 
 * Cerveja: está diretamente relacionada ao conteúdo do texto, que menciona o mercado de cerveja da Lituânia| 
 * Mercado: está relacionada à ideia de análise dos resultados do setor da cerveja| 
 * Crescimento: está relacionada ao aumento de 0,8% no mercado de cerveja da Lituânia em relação ao ano anterior."
32,positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .","A receita de carga da Viking Line aumentou 5,4% para EUR 21,46 milhões, e o volume de carga aumentou 2,4% para 70.116 unidades de carga.",False,25,"Carga, Comércio Marítimo, Crescimento

*Justificativa:
    Carga: está diretamente relacionada ao conteúdo do texto, que menciona a receita de carga da Viking Line e o aumento no volume de carga.
    Comércio Marítimo: está relacionada à atividade econômica referenciada no texto, que é o comércio marítimo.
    Crescimento: está relacionada ao aumento na receita de carga (5,4%) e no volume de carga (2,4%), indicando um aumento no desempenho da Viking Line."
33,positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","O justo valor da carteira de imóveis duplicou com a aquisição da Kapiteeli e totalizou 2.686,2 1.259,7 milhões de euros.",False,20,"Imóvel, Aquisição, Valor 

*Justificativa:
 *   Imóvel: está diretamente relacionado ao conteúdo do texto, que menciona a aquisição da carteira de imóveis Kapiteeli.
 *   Aquisição: está relacionada à ideia de compra ou adquirição da carteira de imóveis Kapiteeli pelo valor mencionado na notícia.
 *   Valor: está relacionada ao resultado da aquisição, que é o justo valor da carteira de imóveis."
34,positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,"10 de fevereiro de 2011 - A empresa de mídia finlandesa Sanoma Oyj HEL: SAA1V disse ontem que seu lucro líquido de 2010 quase triplicou para EUR 297,3 milhões de EUR107,1 milhões para 2009 e anunciou uma proposta para um aumento no pagamento.",False,43,"Sanoma Oyj, Lucro, Pagamento

*Justificativa:* 
      Sanoma Oyj: está diretamente relacionada ao conteúdo do texto, que menciona a empresa de mídia finlandesa Sanoma Oyj.
      Lucro: está relacionado à informação sobre o lucro líquido da empresa em 2010 e 2009.
      Pagamento: está relacionada à proposta do Sanoma Oyj para um aumento no pagamento."
35,positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .","A Helsinque: o ELIiV relatou hoje um lucro por ação de 1,13 euros em 2009, um aumento em relação ao lucro por ação de 1,12 euros em 2008.",False,28,"Lucro, Aumento, Relatório

*Justificativa:*

Lucro: está diretamente relacionado ao conteúdo do texto, que menciona o lucro por ação da empresa ELIiV;
Aumento: está relacionada à comparação entre os lucros de 2009 e 2008;
Relatório: está relacionada à fonte da informação, que é o ELIiV."
36,positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .","DIVULGAÇÃO DA BOLSA DE AÇÕES Aspo Plc 11 de fevereiro de 2011 às 8h45 A ESL Shipping Ltd, parte do Aspo Group, assinou um novo contrato de longo prazo com a Rautaruukki Corporation para o transporte marítimo de matérias-primas no Mar Báltico.",False,42,"Ações, Transporte, Investimento

*Justificativa:
   Ações: está diretamente relacionada ao conteúdo do texto, que menciona a assinatura de uma nova contratação por parte da ESL Shipping Ltd e do Aspo Group.
   Transporte: está relacionado à ideia de transporte marítimo de matérias-primas no Mar Báltico.
   Investimento: está relacionada ao investimento da ESL Shipping Ltd e do Aspo Group no transporte marítimo, como demonstrado pela assinatura de um novo contrato de longo prazo."
37,positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .","As receitas de comissões aumentaram 22% para 4,4 milhões de euros e o volume de empréstimos aumentou 13,5%.",False,18,"Comissão, Receita, Empréstimo

*Justificativa:
 Comissão: está diretamente relacionada ao conteúdo do texto que menciona as receitas de comissões| 
 Receita: está relacionada ao aumento das receitas de comissões| 
 Empréstimos: está relacionada ao aumento do volume de empréstimos|"
38,positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .","Em janeiro, o tráfego, medido em receita-passageiro-quilômetro RPK, aumentou 3,2% e a capacidade, medida em assento-quilômetro ASK oferecido, aumentou 12,2%.",False,20,"Tráfego, Aumento, Capacidade

*Justificativa:
 Tráfego: está diretamente relacionada ao conteúdo do texto, que menciona a variação no tráfego em janeiro.
 Aumento: está relacionado à ideia de aumento na receita e capacidade, como mostrado pela percentagem de aumento nos dados apresentados.
 Capacidade: está relacionada ao conceito de capacidade de transporte, medida em assento-quilômetro ASK."
39,positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","Em janeiro-setembro de 2010, o lucro líquido da Fiskars aumentou 14% com relação ao ano anterior para EUR 65,4 milhões e as vendas líquidas para EUR 525,3 milhões de EUR 487,7 milhões.",False,32,"Lucro, Vendas, Aumento

*Justificativa:
    *Lucro: está relacionada ao conteúdo do texto que menciona o aumento do lucro líquido da Fiskars.
    *Vendas: está relacionada à informação sobre as vendas líquidas da Fiskars no ano anterior e no mesmo período de 2010, comparado com os anos anteriores.
    *Aumento: está relacionada ao aumento do lucro líquido e das vendas líquidas da Fiskars em relação ao ano anterior."
40,positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","O lucro líquido de seguros de vida aumentou para EUR 16,5 milhões de EUR 14,0 milhões, e o lucro líquido de seguros não vida para EUR 22,6 milhões de EUR 15,2 milhões em 2009.",False,34,"Lucro, Seguro, Aumento

*Justificativa:
*   Lucro: está diretamente relacionado ao conteúdo do texto que menciona o aumento do lucro líquido de seguros.
*   Seguro: está relacionada à ideia de seguro, um produto financeiro que é mencionado no texto
*   Aumento: está relacionada à mudança no valor do lucro líquido de seguros."
41,positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",A Nyrstar também concordou em fornecer à Talvivaara até 150.000 toneladas de ácido sulfúrico por ano para uso no processo de lixiviação da Talvivaara durante o período de fornecimento do zinco em concentrado.,False,33,"Ácido, Sulfúrico, Fornecimento

*Justificativa:
*   Ácido: está diretamente relacionada ao conteúdo do texto, que menciona a Nyrstar como um fornecedor de ácido sulfúrico para o processo de lixiviação da Talvivaara;
*   Sulfúrico: está relacionada à substância que é fornecida pela Nyrstar para uso no processo de lixiviação da Talvivaara, que é uma mina de zinco;
*   Fornecimento: está relacionada ao acordo entre a Nyrstar e o Talvivaara para fornecer ácido sulfúrico durante um período específico."
42,positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .","As vendas da divisão de lojas de departamentos e do Hobby Hall aumentaram 7%, enquanto as vendas da filial da loja de roupas Seppala diminuíram 4%.",False,26,"Vendas, Crescimento, Descrição"
43,positive,Sales have risen in other export markets .,As vendas aumentaram em outros mercados de exportação.,False,8,"Vendas, Mercado, Exportação

*Justificativa:

*   Vendas: está diretamente relacionada ao conteúdo do texto, que menciona a aumento das vendas| 
*   Mercado: está relacionada à ideia de outros mercados de exportação|
*   Exportação: está relacionada ao contexto da venda em outros mercados"
